32,3.02e-08,6.66328e-05,,
64,3e-08,6.26678e-05,,
128,3e-08,6.40642e-05,,
256,3.2e-08,0.00010321,,
512,5.4e-08,9.41262e-05,,
1024,6.22e-08,8.4695e-05,,
2048,1.104e-07,7.7822e-05,,
4096,1.942e-07,8.33122e-05,,
8192,6.59e-07,9.25478e-05,,
16384,1.3222e-06,8.33304e-05,,
32768,2.5428e-06,0.00013034,,
65536,5.564e-06,8.98486e-05,,
131072,1.76408e-05,9.71546e-05,,
262144,3.75126e-05,0.000131493,,
524288,7.86936e-05,0.00014907,,
1.04858e+06,0.000110639,0.000195909,,
2.09715e+06,0.000382107,0.000257627,,
4.1943e+06,0.00112825,0.000642636,,
8.38861e+06,0.00287526,0.00164033,,
1.67772e+07,0.00539585,0.00269717,,
3.35544e+07,0.00994838,0.00540222,,
6.71089e+07,0.0193785,0.0112607,,
1.34218e+08,0.0376235,0.0156915,,
2.68435e+08,0.0731683,0.0317717,,
5.36871e+08,0.137705,0.0643675,,
1.07374e+09,0.274776,0.123418,,
